sl_nb_chambre,sl_taille,sl_prix,sl_salle_d_eau,sl_salle_de_bain,sl_toilette,sl_etage,sl_hauteur,sl_parking,sl_terrasse,sl_nb_piece,sl_localisation_enc,sl_cuisine_enc,sl_exposition_enc,sl_vue_enc,sl_ascenseur_enc,sl_neuf_enc,sl_cave_enc,sl_annee_enc,sl_balcon_enc,sl_parquet_enc,sl_style_enc,sl_gardien_enc
2.0,90.0,620000.0,1.0,1.0,1.0,4.0,6.0,1.0,1.3823529411764706,4.0,0,0,0,0,1,0,0,1,0,0,0,0
2.0,30.0,171000.0,1.0,1.0,1.0,4.333333333333333,5.5,1.0,1.3529411764705883,1.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,66.0,519750.0,1.0,1.0,1.0,4.666666666666667,5.0,1.0,1.3235294117647058,3.0,0,0,0,0,0,1,1,0,0,0,0,0
1.5,32.0,245000.0,1.25,1.0,1.0,5.0,5.0,1.0,1.2941176470588236,1.0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,45.0,196000.0,1.5,1.0,1.0,1.0,4.0,1.0,1.2647058823529411,2.0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,79.0,545000.0,1.75,1.0,1.0,6.0,4.0,1.0,1.2352941176470589,3.0,0,1,0,0,1,0,1,0,0,0,0,0
4.0,132.0,711000.0,2.0,1.0,2.0,2.0,4.0,1.0,1.2058823529411766,5.0,0,0,0,0,1,0,1,0,0,0,0,0
3.0,77.0,410000.0,1.0,1.0,2.0,1.0,4.0,1.0,1.1764705882352942,4.0,0,0,0,0,0,0,0,0,0,0,0,0
2.5,69.5,364500.0,1.0,1.0,2.0,3.0,6.0,1.0,1.1470588235294117,3.5,0,0,0,0,0,0,0,0,0,0,0,0
2.0,62.0,319000.0,1.0,1.0,2.0,1.0,8.0,1.0,1.1176470588235294,3.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,39.0,241000.0,1.0,1.0,1.0,1.3333333333333333,10.0,1.0,1.0882352941176472,2.0,0,1,0,0,1,1,0,0,0,1,0,0
1.0,36.0,227000.0,1.0,1.0,1.0,1.6666666666666665,10.0,1.0,1.0588235294117647,2.0,0,1,0,0,1,1,0,0,0,1,0,0
4.0,164.0,995000.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0294117647058822,6.0,0,0,0,0,1,0,1,0,0,1,0,1
4.0,153.0,1198000.0,1.0,1.0,2.0,2.5,5.5,1.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,134.0,920000.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,5.0,0,0,0,0,1,0,1,1,0,1,0,0
2.0,59.0,288750.0,1.0,1.0,1.0,3.5,5.5,1.0,1.0,3.0,0,0,0,0,0,0,1,1,0,0,0,0
1.0,77.0,580000.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0
6.0,230.0,495000.0,1.0,1.0,1.5,3.3333333333333335,5.666666666666667,1.0,1.0,8.0,0,0,0,0,0,0,1,0,0,1,1,0
4.0,153.0,1198000.0,1.0,1.0,2.0,2.666666666666667,5.333333333333333,1.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,188.0,1250000.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,5.0,0,0,0,0,1,1,1,0,1,1,0,0
2.0,81.0,489000.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,0,0,0,0,1,0,1,0,1,0,0,0
3.0,134.0,920000.0,1.0,1.0,1.0,3.0,5.0,1.0454545454545454,1.0,5.0,0,0,0,0,1,0,1,1,0,1,0,0
1.0,76.0,580000.0,1.0,1.0,1.0,4.0,7.0,1.0909090909090908,1.0,3.0,0,1,0,0,1,0,1,0,0,0,0,0
2.5,8.0,80000.0,1.0,1.0,1.0,5.0,6.0,1.1363636363636362,1.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0
4.0,150.0,840000.0,1.0,1.0,1.0,4.0,5.0,1.1818181818181819,1.0,5.0,0,0,0,0,1,0,1,0,0,1,0,0
3.0,134.0,920000.0,1.0,1.0,1.0,3.0,4.0,1.2272727272727273,1.0,5.0,0,0,1,0,1,0,1,0,0,1,0,0
2.0,78.0,439000.0,1.0,1.0,1.0,2.75,3.6,1.2727272727272727,1.0,4.0,0,0,0,0,1,0,1,0,0,1,0,1
3.0,92.0,540000.0,1.0,1.0,1.0,2.5,3.2,1.3181818181818181,1.0,4.0,0,0,0,0,1,0,1,0,1,0,0,1
2.0,65.0,349500.0,1.0,1.0,1.0,2.25,2.8,1.3636363636363638,1.0,3.0,0,0,0,0,0,0,1,1,0,0,0,0
4.0,164.0,950000.0,1.0,1.0,1.0,2.0,2.4,1.4090909090909092,1.0,5.0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,53.0,240000.0,1.0,1.0,1.0,1.0,2.0,1.4545454545454546,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,76.0,390000.0,1.0,1.0,1.0,2.0,12.0,1.5,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,1
3.0,132.0,985000.0,1.0,1.0,1.0,3.0,6.0,1.5454545454545454,1.0,4.0,0,0,0,0,1,1,1,0,0,0,0,0
2.0,62.0,290000.0,1.0,1.0,1.0,6.0,8.0,1.5909090909090908,1.0,3.0,0,0,0,0,1,0,1,0,1,0,0,1
2.0,66.0,445000.0,1.0,1.0,1.0,7.0,7.0,1.6363636363636362,1.0,3.0,0,0,0,0,1,0,1,0,0,1,0,0
3.0,132.0,940000.0,1.0,1.0,1.0,3.0,6.0,1.6818181818181819,1.0,4.0,0,0,0,0,1,1,1,0,0,0,0,0
2.0,74.0,444000.0,1.0,1.0,1.0,3.0,4.0,1.7272727272727273,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,62.0,290000.0,1.0,1.0,1.0,6.0,8.0,1.7727272727272727,1.0,3.0,0,0,0,0,1,0,1,0,1,0,0,1
2.0,74.0,444000.0,1.0,1.0,1.0,3.0,4.0,1.8181818181818183,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,52.0,405000.0,1.0,1.0,1.0,3.0,3.0,1.8636363636363638,1.0,2.0,0,1,0,0,0,0,0,1,0,0,0,0
1.5,21.0,175000.0,1.0,1.0,1.0,4.0,4.0,1.9090909090909092,1.0,1.0,0,1,0,0,0,0,1,1,0,0,0,0
2.0,88.0,598000.0,2.0,1.0,1.0,1.0,6.0,1.9545454545454546,1.0,3.0,0,0,0,0,0,0,1,1,0,1,0,0
4.0,160.0,289000.0,3.0,1.0,3.0,3.5,2.0,2.0,1.0,8.0,0,0,0,0,0,0,0,0,0,0,1,0
2.0,67.0,375000.0,2.0,1.0,2.0,6.0,12.0,1.875,1.0,3.0,0,0,0,0,1,0,1,0,0,0,0,1
3.0,117.0,795000.0,1.0,1.0,2.0,1.0,4.0,1.75,1.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0
1.0,38.0,249000.0,1.0,1.0,1.0,1.5,8.0,1.625,1.0,2.0,0,1,0,0,0,0,0,0,0,1,0,0
2.0,67.0,385000.0,1.0,1.0,1.0,2.0,12.0,1.5,1.0,3.0,0,0,0,0,1,0,1,0,1,0,0,0
2.0,72.5,427500.0,1.0,1.0,1.0,1.5,14.0,1.375,1.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,78.0,470000.0,1.0,1.0,1.0,1.0,4.0,1.25,1.0,3.0,0,0,0,0,1,0,1,0,0,1,0,0
2.0,79.0,538000.0,1.0,1.0,1.0,4.0,7.0,1.125,1.0,4.0,0,0,0,0,1,0,1,0,0,0,0,0
1.0,40.0,260000.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,2.0,0,0,0,0,1,0,1,0,1,0,0,0
2.0,52.0,350000.0,1.0,1.0,1.0,3.0,8.0,1.0,1.0,3.0,0,0,0,0,1,0,1,0,0,1,0,0
2.0,77.0,430000.0,1.0,1.0,1.0,5.0,8.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,35.0,309000.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,0,1,0,0,0,0,1,1,0,0,0,0
1.0,41.0,285000.0,1.0,1.0,1.0,7.0,4.5,1.0,1.0,2.0,0,0,0,0,1,0,0,0,0,0,0,1
2.0,61.0,366000.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,35.0,309000.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,0,0,0,0,0,0,1,1,0,0,0,0
1.0,71.0,407000.0,1.0,1.0,1.0,2.0,11.0,1.0,1.0,2.0,0,0,0,0,1,0,1,0,0,1,0,0
3.0,94.5,691500.0,1.0,1.0,1.0,2.6666666666666665,10.625,1.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,118.0,824500.0,1.0,1.0,1.0,3.333333333333333,10.25,1.0,1.0,4.0,0,0,0,0,0,0,1,0,0,1,0,0
3.0,171.0,1160000.0,1.0,1.0,3.0,4.0,9.875,1.0,1.0,5.0,0,0,0,0,1,0,1,0,0,1,0,0
5.0,176.0,995000.0,1.0,2.0,2.0,4.666666666666666,9.5,1.0,1.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,163.0,1198000.0,1.0,1.0,2.0,5.333333333333333,9.125,1.0,1.0,8.0,0,1,0,0,1,0,0,0,0,0,0,1
3.0,108.0,625000.0,1.0,1.0,1.0,6.0,8.75,1.0,1.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0
3.0,172.0,1139900.0,1.0,1.0,1.0,3.0,8.375,1.0,1.0,5.0,0,0,0,0,0,0,1,0,1,0,0,0
1.0,58.0,380000.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,2.0,0,0,0,0,1,0,1,0,0,0,0,0
2.0,71.0,450000.0,1.0,1.0,1.0,1.5,5.0,1.0,1.0,3.0,0,0,0,0,1,0,0,0,1,0,0,0
1.0,41.0,246000.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,37.0,222000.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,41.0,246000.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,103.0,677000.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0
1.0,23.0,237000.0,1.0,1.0,1.0,1.5,5.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,42.0,325000.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0
1.0,55.0,330000.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,131.0,1150000.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,5.0,0,0,0,0,1,0,1,0,0,1,0,0
3.5,40.0,270000.0,1.0,1.0,1.5,5.0,6.0,1.0,1.0,1.0,0,0,0,0,0,0,1,1,0,0,0,0
3.0,106.0,795000.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,4.0,1,0,0,0,0,0,1,0,0,0,0,1
3.0,110.0,850000.0,1.0,1.0,2.0,3.0,7.0,1.0,1.0,4.0,1,0,0,0,1,0,1,0,0,0,0,0
4.0,130.0,1450000.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,5.0,1,0,0,1,1,0,0,0,0,0,0,1
3.0,120.0,890000.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,5.0,1,0,0,0,1,0,0,0,0,1,0,0
3.0,183.0,1550000.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,6.0,1,0,0,0,1,0,1,0,0,0,0,1
4.0,136.0,910000.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0
4.0,231.0,1495000.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,6.0,1,0,0,0,1,0,1,0,0,1,0,1
4.0,168.0,1050000.0,1.5,3.0,2.0,6.0,6.0,1.0,1.0,6.0,1,0,0,1,1,0,1,0,0,0,0,0
4.0,136.0,910000.0,1.0,1.0,3.0,3.0,8.333333333333334,1.0,1.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,88.0,690000.0,1.0,1.0,1.0,4.0,10.666666666666668,1.0,1.0,4.0,1,0,0,0,1,0,0,1,0,1,0,1
2.0,163.0,1560000.0,1.0,1.0,2.0,6.0,13.0,1.0,1.0,5.0,1,0,0,1,0,0,0,0,0,0,0,1
4.0,168.0,1050000.0,1.0,3.0,2.0,6.0,6.0,1.0,1.0,6.0,1,0,0,1,1,0,1,0,0,0,0,0
3.0,183.0,1550000.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,1,0,0,0,1,0,1,0,0,0,0,1
4.0,164.0,1370000.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,5.0,1,0,0,0,1,0,1,1,0,0,0,0
3.0,173.0,1300000.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0
3.0,154.0,1230000.0,1.0,1.0,2.0,2.0,10.0,1.0,1.0,5.0,1,0,0,1,1,0,1,0,0,0,0,1
2.0,105.0,895000.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1,0,0,0,1,0,1,0,0,0,0,0
4.0,145.0,1050000.0,1.0,2.0,2.0,4.0,7.0,1.0,1.0,5.0,1,0,0,0,1,0,1,0,0,1,0,0
3.0,183.0,1550000.0,1.0,1.0,1.5,1.0,4.0,1.0,1.0,4.0,1,0,0,0,1,0,1,0,0,1,0,1
3.0,132.0,870000.0,1.0,1.0,1.0,3.0,7.0,1.0,1.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0
3.0,149.0,1700000.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,1,0,0,1,0,0,1,0,0,0,0,0
2.0,181.0,1250000.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,4.0,1,0,0,0,1,0,1,1,0,1,0,0
3.0,108.0,800000.0,1.0,1.0,2.0,3.5,5.0,1.0,1.0,5.0,1,0,0,0,0,0,1,0,0,0,0,1
4.0,136.0,910000.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,108.0,800000.0,1.0,1.0,2.0,2.5,5.0,1.0,1.0,5.0,1,0,0,0,0,0,1,0,0,0,0,1
2.0,78.0,660000.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,1,0,0,0,1,0,1,0,0,0,0,0
3.0,140.0,1030000.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,5.0,1,0,0,0,1,0,1,0,0,0,0,0
3.0,313.0,2800000.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,8.0,1,0,0,1,0,0,1,0,0,1,0,1
2.0,107.0,1350000.0,1.0,1.0,2.0,5.0,6.0,1.0,1.0,3.0,1,0,0,1,1,0,0,0,0,0,0,0
3.0,120.0,649000.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,93.0,558000.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,142.0,1080000.0,1.0,1.0,1.0,3.0,3.5,1.0,1.0,5.0,1,0,0,0,1,0,1,0,0,1,0,0
4.0,194.0,1560000.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,6.0,1,0,0,1,1,0,0,0,0,0,0,1
2.0,80.0,565000.0,2.0,2.0,1.0,7.0,7.0,1.0,1.0,3.0,1,0,0,1,1,0,1,0,0,0,0,0
4.0,300.0,2250000.0,2.0,2.0,3.0,4.5,7.0,1.0,1.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,68.0,570000.0,2.0,2.0,1.0,2.0,7.0,1.0,1.0,3.0,1,0,0,0,0,0,1,0,0,0,0,0
4.0,200.0,1890000.0,2.0,2.0,3.0,7.0,7.0,1.0,1.0,5.0,1,0,0,1,1,0,0,0,0,0,0,0
3.0,100.0,590000.0,2.0,2.0,1.0,1.0,7.0,1.0,1.0,4.0,1,0,0,0,1,0,1,0,0,0,0,0
