bd_style,bd_nb_chambre,bd_nb_piece,bd_prix,bd_paragraphe,bd_salle_d_eau,bd_salle_de_bain,bd_toilette,bd_annee,bd_etage,bd_ascenseur,bd_balcon,bd_cave,bd_chemine,bd_cuisine,bd_exposition,bd_gardien,bd_hauteur,bd_jardin,bd_localisation,bd_neuf,bd_parking,bd_parquet,bd_piscine,bd_taille,bd_terrasse,bd_travaux,bd_vis_a_vis,bd_vue
Appartement,3 Chambres,4 Pièces,"795 000 €
Les honoraires sont à la charge du vendeur","Lyon 6 - Tête-d'Or - Appartement de 106,16 m² - 3 chambres - Balcons de 16,84 m² - Garage - Cave - double destination EXCLUSIVITÉ - TÊTE D'OR. Situé à proximité du Parc de la Tête d'Or, au 4e étage sur 5 d'un immeuble de standing avec gardien, cet appartement parfaitement entretenu, rénové en 2017, traversant Est/Ouest, dispose de 125,21m² (106 m² carrez). Il se compose d'un hall avec dressing ouvert sur une pièce de vie de 30m² et donnant accès, par de larges ouvertures, à un balcon de 12m². Le bien dispose d'une cuisine équipée donnant elle-même sur un second balcon de 2m² ainsi qu'un accès à un cellier de 5m² équipé en buanderie. L'espace nuit totalise 3 chambres dont un espace enfant (13,50m² et 12m²) avec salle de bains et une suite parentale de 16m² avec dressing et salle de douches. Ce bien rare à la vente et qualitatif est vendu avec une grande cave de 10m² environ - Un GARAGE simple et profond est vendu en supplément à 55000 euros HAI / Possibilité d'une location d'un garage double (180 euros/mois).",Non reference,1 Salle de bain,1 Toilette,Année de construction 1965,Au 4ème étage,Non reference,Balcon,Cave,Non reference,Non reference,Non reference,Gardien,Bâtiment de 5 étages,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['106 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,3 Chambres,4 Pièces,"850 000 €
Les honoraires sont à la charge du vendeur","Appartement 4 pièces de 110.3m² avec balcon extérieur de 12m² | Rue Masséna | Lyon Liberkeys vous propose cet appartement T4 de 110.3m², situé au 3ème étage sur 7 d'une petite copropriété avec ascenseur. Sur le bien: En plein coeur du 6ème arrondissement, ce superbe appartement de 110m² avec 3 chambres et vaste espace de vie conviendra parfaitement à tous ceux qui voudront s'établir dans ce beau quartier. Vous jouirez de prestations haut de gamme et matériaux d'exception. Les aménagements et les travaux ont été réalisés par un architecte. Le bien est composé d'un grand salon orienté Ouest de 39m² avec un accès direct au grand balcon de 12m² que vous pourrez utiliser tout au long de l'année. Vous retrouverez également une cuisine avec des matériaux d'exception comme le Dekton ou encore un mortier lissé (Marius Aurenti) et ciré au sol sur toute la surface de l'appartement. Pour la partie nuit, trois chambres de 11m², 12m² et 20m² sont présentes. Les 2 premières avec penderies intégrées conviendront parfaitement aux enfants. Donnant sur la cour intérieure de la copropriété, elles sont calmes. Vous retrouverez 2 WC séparés ainsi qu'une belle salle de bain avec baignoire dans le couloir. La dernière chambre, la plus grande, composée d'un très grand dressing et d'une salle d'eau attenante la transformant en suite parentale idéale. Une cave et un box fermé pour une voiture viennent compléter ce bien. Les plus: - Prestations et matériaux de grande qualité - Lumineux - Calme - Proche toutes commodités Faibles charges: 200 euros par mois comprenant espaces verts et espaces communs. Taxe foncière: 1572 euros par an Chauffage au gaz individuel. Double vitrage. Sur l'immeuble: Construit en 2000. Copropriété de 26 appartements. Les espaces communs comprennent un jardin ainsi qu'un espace sécurisé pour les vélos. Sur la localisation: Emplacement exceptionnel, en plein coeur de l'agréable 6ème arrondissement vous retrouverez toutes les commodités au pied de l'immeuble: commerces de bouches, banques, postes, transport s (métro A, arrêt Masséna à 2min à pied de l'immeuble) mais également de nombreux restaurants et bar dans les rues adjacentes. . Liberkeys - 21 Rue du commandant Fuzier - 69003 Lyon.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Année de construction 2000,Au 3ème étage,Ascenseur,Balcon,Cave,Non reference,Non reference,Non reference,Non reference,Bâtiment de 7 étages,Non reference,Lyon 6ème,Non reference,Parking,Non reference,Non reference,['110 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,4 Chambres,5 Pièces,"1 450 000 €
Les honoraires sont à la charge du vendeur","Boulevard des Belges, au dernier étage avec accès direct sur le Parc de la Tête d'Or, très bel appartement entièrement refait et climatisé d'une surface de 130m², avec terrasse exposée plein Sud. Très beau séjour double donnant sur terrasse, 4 belles chambres dont la suite parentale avec sa salle de bains, 1 salle d'eau, 2 toilettes, une buanderie. Volet électrique centralisé. 1 place de parking en sous-sol. Agence Primmo Lyon Foch Copropriété de 17 lots (Pas de procédure en cours). Charges annuelles: 5400 euros.",Non reference,Non reference,Non reference,Année de construction 1982,Au 3ème étage,Ascenseur,,Non reference,Non reference,Non reference,Non reference,Gardien,Bâtiment de 3 étages,Non reference,Lyon 6ème,Non reference,Parking,Non reference,Non reference,['130 M²'],Terrasse,Non reference,Non reference,Belle vue
Duplex,3 Chambres,5 Pièces,"890 000 €
Les honoraires sont à la charge du vendeur","Situé dans le 6ème arrondissement de Lyon, Place Puvis de Chavannes, au coeur du triangle d'or, cet appartement d'exception de 120m² (114m² carrez) prend place au 4ème étage avec ascenseur, d'un bel immeuble Art Déco de 1930 sur son terrain. Issu de la réhabilitation d'ancien bureaux, cet appartement a été entièrement rénové par un architecte de renom, au cours de l'année 2019. Dès l'entrée, l'oeil est indéniablement attiré par la vue sur les pentes de la Croix Rousse et l'église de la Rédemption, permise par les très grandes fenêtres aux angles cassés propre au style Art Déco. Baignée de lumière avec son orientation Ouest et ses 4 mètres de hauteur sous plafond, la pièce de vie est composée d'une cuisine entièrement équipée, et d'un coin télévision astucieusement composé de nombreux rangements. Un parquet en chêne massif sublime cet ensemble. De plain-pied, se trouve également une grande chambre parentale avec sa propre salle de bain et son dressing. Un coin buanderie et un toilette complètent ce niveau. C'est par un bel escalier en bois que l'on accède au second niveau où l'architecte, bénéficiant de la belle hauteur sous plafond de cet appartement, a crée intelligemment deux grandes chambres possédantes chacune des verrières toutes hauteurs et de grands placards de rangement. Un espace bureau surplombant la pièce de vie a été également créée. A 5 minutes à pied du métro Foch et de l'avenue Franklin Roosevelt, et proches de toute les commodités, cet appartement entièrement rénové et ensoleillé ravira les familles en quête d'un produit unique. Climatisation réversible. Domotique. VMC Double Flux. GARAGE EN LOCATION a 1 minute à pied Possibilité double destination. Contact: Clément - Copropriété de 22 lots (Pas de procédure en cours). Charges annuelles: 1080.00 euros.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Non reference,Au 4ème étage,Ascenseur,,Non reference,Non reference,Non reference,Non reference,Non reference,Bâtiment de 5 étages,Non reference,Lyon 6ème,Non reference,,Parquet,Non reference,['120 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,3 Chambres,6 Pièces,"1 550 000 €
Les honoraires sont à la charge du vendeur","A proximité immédiate de l'entrée du Parc de la Tête D'Or, dans un immeuble de 1910 de belle facture et sur son terrain, appartement élégant entièrement rénové de 183 m². Composé de vastes pièces de réception avec de larges ouvertures au sud, d'une cuisine indépendante équipée, et d'un cellier. De 3 chambres dont une chambre parents avec salle de bains et dressing, de 2 chambres qui se partagent une salle d'eau. Rénovation soignée de grande qualité. Le charme de l'ancien côtoie le confort contemporain avec harmonie. En annexe 2 caves et 2 places de stationnement dans la cour de l'immeuble. Quote part annuelle 2400EUR. Copropriété de 12 lots. Pas de procédure en cours. ARLIM PRESTIGE Bénédicte Adrian Honoraires à la charge du vendeur.",1 Salle d'eau,1 Salle de bain,1 Toilette,Non reference,Au 1er étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Gardien,Non reference,Non reference,Lyon 6ème,Non reference,Parking,Non reference,Non reference,['183 M²'],Non reference,Non reference,Non reference,Non reference
Triplex,4 Chambres,5 Pièces,"910 000 €
Les honoraires sont à la charge du vendeur","Proximité Place Kléber et crs Franklin Roosevelt, au calme, joli Triplex climatisé avec terrasse dans un esprit contemporain, 136 m² utile/130 m² carrez composé d'une vaste cuisine ouverte sur séjour (l'ensemble faisant 52 m²) et terrasse de 15.60 m², 4 chambres dont 1 suite parentale avec dressing et salle d'eau attenante, 1 salle de bains et 1 salle d'eau, 3 WC, garage en sous-sol pour 50 ke en sus du prix.",1 Salle d'eau,1 Salle de bain,3 Toilettes,Non reference,Au 3ème étage,Non reference,,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['136 M²'],Terrasse,Non reference,Non reference,Non reference
Appartement,4 Chambres,6 Pièces,"1 495 000 €
Les honoraires sont à la charge du vendeur","Dans l'axe de la Place Puvis de Chavanne idéalement situé dans le coeur du triangle d'Or /FOCH un somptueux appartement contemporain traversant Est/Ouest et lumineux dans un immeuble édifié sur son terrain. Ce bien d'exception climatisé comprends: une entrée, quatre chambres dont une suite parentale avec salle de bain/douche et dressing, une pièce de réception d'env. 70 m² avec cuisine meublée et équipée ouverte d'env. 17 m², une pièce (jeu ou bureau), une salle de bains, une salle d'eau, avec un studio meublé attenant comprenant une pièce principale avec kitchenette et salle d'eau. Possibilité de de créer un balcon. Un garage box fermé au sous-sol complète ce bien. La copropriété bénéficie des équipements collectifs suivants: espace vélos en sous-sol, ascenseur, une cave commune, une terrasse extérieure aménagée. Informations et visites.",2 Salles d'eau,2 Salles de bain,2 Toilettes,Année de construction 1965,Au 1er étage,Ascenseur,Balcon,Cave,Non reference,Non reference,Non reference,Gardien,Bâtiment de 5 étages,Non reference,Lyon 6ème,Non reference,,Parquet,Non reference,['231 M²'],Terrasse,Non reference,Non reference,Non reference
Appartement,4 Chambres,6 Pièces,"1 050 000 €
Les honoraires sont à la charge du vendeur","Venez découvrir ce grand appartement familial de 168 m² au 6ème et dernier étage d'un immeuble de bon standing avec son garage fermé de 16m². Il comprend un vaste séjour double de 55 m² donnant sur un balcon plein ouest de 10 m² avec vue sur la colline de la Croix Rousse, quatre chambres, une cuisine indépendante avec son balcon, trois salles d'eau, deux toilettes et de nombreux placards.. Une cave complète ce bien. Un garage fermé en sous-sol est possible en SUS. Proche de toutes les commodités: métro Foch, bus, écoles, commerces, Parc de la Tête d'Or et Berges du Rhône Contacter Bénédicte Tuaillon: Classe Énergie: D Copropriété de 20 lots (Pas de procédure en cours). Charges annuelles: 7598.00 euros.",Non reference,3 Salles de bain,2 Toilettes,Année de construction 1970,Au 6ème étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Non reference,Bâtiment de 6 étages,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['168 M²'],Non reference,Non reference,Non reference,Belle vue
Triplex,4 Chambres,5 Pièces,"910 000 €
Les honoraires sont à la charge du vendeur","Proximité Place Kléber et crs Franklin Roosevelt, au calme, joli Triplex climatisé avec terrasse dans un esprit contemporain, 136 m² utile/130 m² carrez composé d'une vaste cuisine ouverte sur séjour (l'ensemble faisant 52 m²) et terrasse de 15.60 m², 4 chambres dont 1 suite parentale avec dressing et salle d'eau attenante, 1 salle de bains et 1 salle d'eau, 3 WC, garage en sous-sol pour 50 ke en sus du prix.",1 Salle d'eau,1 Salle de bain,3 Toilettes,Non reference,Au 3ème étage,Non reference,,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['136 M²'],Terrasse,Non reference,Non reference,Non reference
Appartement,3 Chambres,4 Pièces,"690 000 €
Les honoraires sont à la charge du vendeur","Cours Vitton, au métro Masséna, en étage élevé avec ascenseur, dans immeuble 1900 avec gardienne, SUPERBE appartement rénové de 88m². Appartement entièrement rénové avec des prestation de grande qualité, aucun travaux n'est à prévoir: double vitrage argon 4/16/4, électricité refaite, radiateurs et chaudière au gaz changés, cuisine et salle de bain neuves, parquets poncés, cloison phonique, peintures refaites. Appartement très lumineux, traversant Sud et Nord. Une entrée avec dressing sur mesure, ouvre sur le séjour avec cheminée en parquet. La cuisine intégrée équipée de l'électroménager est ouverte sur la pièce de vie. Trois chambres avec rangements et dressing, une salle de bain et douche, toilettes. Une cave. Contacter Florence Chabran pour une visite guidée et pour tout renseignement complémentaire. Honoraires d'agence à la charge du vendeur.",1 Salle d'eau,1 Salle de bain,1 Toilette,Année de construction 1900,Au 4ème étage,Ascenseur,,Cave de 8 m²,Non reference,Non reference,Non reference,Gardien,Non reference,Non reference,Lyon 6ème,Non reference,,Parquet,Non reference,['88 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,2 Chambres,5 Pièces,"1 560 000 €
Les honoraires sont à la charge du vendeur","Exceptionnel, en étage élevé avec une vue panoramique jusqu'à Fourvière dans un immeuble de grand standing 163 m² composé d'une entrée ouverte sur une vaste réception de 56 m², cuisine indépendante, 2 grandes chambres (4 à l'origine), grand dressing, vaste salle de bains de 10 m², buanderie, toilettes. 1 cave et garage pour 40 ke en sus du prix Une exclusivité PRIMMO.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Non reference,Au 6ème étage,Non reference,,Non reference,Non reference,Non reference,Non reference,Gardien,Bâtiment de 13 étages,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['163 M²'],Non reference,Non reference,Non reference,Belle vue
Appartement,4 Chambres,6 Pièces,"1 050 000 €
Les honoraires sont à la charge du vendeur","Venez découvrir ce grand appartement familial de 168 m² au 6ème et dernier étage d'un immeuble de bon standing avec son garage fermé de 16m². Il comprend un vaste séjour double de 55 m² donnant sur un balcon plein ouest de 10 m² avec vue sur la colline de la Croix Rousse, quatre chambres, une cuisine indépendante avec son balcon, trois salles d'eau, deux toilettes et de nombreux placards.. Une cave complète ce bien. Un garage fermé en sous-sol est possible en SUS. Proche de toutes les commodités: métro Foch, bus, écoles, commerces, Parc de la Tête d'Or et Berges du Rhône Contacter Bénédicte Tuaillon: Classe Énergie: D Copropriété de 20 lots (Pas de procédure en cours). Charges annuelles: 7598.00 euros.",Non reference,3 Salles de bain,2 Toilettes,Année de construction 1970,Au 6ème étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Non reference,Bâtiment de 6 étages,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['168 M²'],Non reference,Non reference,Non reference,Belle vue
Appartement,3 Chambres,4 Pièces,"1 550 000 €
Les honoraires sont à la charge du vendeur","Lyon 6 - Boulevard des Belges - Appartement de 183 m² - 3 chambres Cet appartement rénové est situé au 1er étage avec ascenseur d'un immeuble de 1910. Sa superficie est de 183 m². De belles pièces de réception avec séjour, salle à manger et cuisine indépendante, 3 chambres dont une suite parentale et une salle d'eau composent cet appartement d'exception. 2 caves. Place de parking non nominatives dans la cours. À proximité immédiate des commerces, des écoles et des transports.",1 Salle d'eau,1 Salle de bain,Non reference,Année de construction 1910,Au 1er étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Gardien,Bâtiment de 4 étages,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['183 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,4 Chambres,5 Pièces,"1 370 000 €
Les honoraires sont à la charge du vendeur","Situé rue Tronchet, dans le 6ème arrondissement de Lyon à quelques mètres du métro Foch, cet appartement d'exception de 164 m² entièrement rénové par architecte, prend place au 4ème étage d'un bel immeuble haussmannien sur son terrain. La partie jour de l'appartement comprend une belle pièce chaleureuse et élégante de réception d'environ 60 m² avec belle hauteur sous plafond. La cuisine aménagée et équipée avec îlot central, ouverte sur le séjour, présente un espace convivial. L'espace nuit comprend 4 chambres avec placards dont une magnifique Master Suite avec salle d'eau et dressing. Les autres chambres se partagent une salle de bain avec douche et baignoire. Le charme de l'ancien, de l'entrée de l'immeuble jusqu'aux parties privatives, les prestations de rénovation haut de gamme, ainsi que l'emplacement prisé et rare font de ce bien un véritable joyau. Climatisé. 1 cave et un grenier complètent ce bien. Garage en location à 1 minute à pied. Charges annuelles: 1990 euros Contact: Clément - Copropriété de 20 lots (Pas de procédure en cours). Charges annuelles: 1996.00 euros.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Année de construction 1900,Au 4ème étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Non reference,Non reference,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['164 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,3 Chambres,5 Pièces,"Exclusivité. Lyon 6ème, boulevard des Belges. Appartement d'exception d'une surface de 173 m² dans un immeuble de 1950 avec un accès direct sur le Parc de la Tête d'Or. Il se compose d'une entrée desservant une double réception et une salle à manger en enfilade côté Sud. Une cuisine indépendante équipée avec son balcon côté Parc. L'espace nuit est actuellement composé d'un bureau, d'une salle de bains avec baignoire balnéo et douche, d'une très grande chambre de 36 m² avec un dressing sur-mesure. La chambre bénéficie de 3 grandes fenêtres exposées Est / Ouest. L'appartement peut-être reconfiguré en 4 chambres. Une cave. Un garage en sus situé dans la cour de l'immeuble au prix de 50 000 € complète ce bien. Infos loi Alur: 17 lots de copropriété, quote part charges annuelles 6 540 €, pas de procédure en cours. Violaine Prenot.","Exclusivité. Lyon 6ème, boulevard des Belges. Appartement d'exception d'une surface de 173 m² dans un immeuble de 1950 avec un accès direct sur le Parc de la Tête d'Or. Il se compose d'une entrée desservant une double réception et une salle à manger en enfilade côté Sud. Une cuisine indépendante équipée avec son balcon côté Parc. L'espace nuit est actuellement composé d'un bureau, d'une salle de bains avec baignoire balnéo et douche, d'une très grande chambre de 36 m² avec un dressing sur-mesure. La chambre bénéficie de 3 grandes fenêtres exposées Est / Ouest. L'appartement peut-être reconfiguré en 4 chambres. Une cave. Un garage en sus situé dans la cour de l'immeuble au prix de 50 000 € complète ce bien. Infos loi Alur: 17 lots de copropriété, quote part charges annuelles 6 540 €, pas de procédure en cours. Violaine Prenot.",Non reference,1 Salle de bain,2 Toilettes,Année de construction 1956,Au 2ème étage,Ascenseur,Balcon,Cave,Non reference,Non reference,Non reference,Non reference,Bâtiment de 4 étages,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['173 M²'],Non reference,Non reference,Non reference,Non reference
Appartement,3 Chambres,5 Pièces,"1 230 000 €
Les honoraires sont à la charge du vendeur","Lyon 6 - Foch - Appartement à vendre de 154 m² - 3 chambres FOCH. Situé au coeur du 6e arrondissement cet appartement dispose de 154 m². Il se compose d'une entrée desservant un salon, d'une salle à manger, d'une cuisine équipée avec son cellier. La partie nuit totalise 3 chambres dont une suite parentale avec une salle de bains et une salle d'eau. Une buanderie, une cave et un local à vélo complètent ce bien.",1 Salle d'eau,1 Salle de bain,2 Toilettes,Année de construction 1950,Au 2ème étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Gardien,Bâtiment de 10 étages,Non reference,Lyon 6ème,Non reference,,Non reference,Non reference,['154 M²'],Non reference,Non reference,Non reference,Belle vue
Appartement,2 Chambres,4 Pièces,"895 000 €
Les honoraires sont à la charge du vendeur","boulevard des Belges coté impair avec accès direct au Parc de la Tête d'or, Joli 104.95 m² + terrasse de 14 m², composé d'une entrée, vaste séjour de 34.35 m² exposé Sud/Ouest, cuisine indépendante, 2 belles chambres de 14.40 et 12.10 m², salle de bains fenêtre baignoire et douche, coin bureau dans le dégagement de 7.85 m², WC indépendants, nombreux rangements. 1 cave de 13 m² et 1 beau parking en sous-sol sécurisé pour 35 ke en sus du prix Copropriété de 17 lots (Pas de procédure en cours). Charges annuelles: 4220 euros.",Non reference,1 Salle de bain,1 Toilette,Année de construction 1982,Au 2ème étage,Ascenseur,,Cave,Non reference,Non reference,Non reference,Non reference,Bâtiment de 3 étages,Non reference,Lyon 6ème,Non reference,Parking,Non reference,Non reference,['105 M²'],Terrasse,Non reference,Non reference,Non reference
